Cell_Type,Pathway,t_stat,p_val,adj_p_val
T cells,HALLMARK_ADIPOGENESIS,7.927340416594851,2.2786946282678815e-15,1.8229557026143052e-14
T cells,HALLMARK_ALLOGRAFT_REJECTION,-9.551443786599878,1.326924040024849e-21,1.3609477333588194e-20
T cells,HALLMARK_ANDROGEN_RESPONSE,12.533706729220365,5.439402780586039e-36,1.2798594777849502e-34
T cells,HALLMARK_ANGIOGENESIS,-1.4182989576640823,0.1561088967105015,0.252192031496501
T cells,HALLMARK_APICAL_JUNCTION,-6.3575549180307,2.0651597206521092e-10,1.1971940409577445e-09
T cells,HALLMARK_APICAL_SURFACE,-7.85355782402048,4.113259223563141e-15,3.1640455565870316e-14
T cells,HALLMARK_APOPTOSIS,10.790681683316727,4.043538825021074e-27,5.054423531276343e-26
T cells,HALLMARK_BILE_ACID_METABOLISM,-6.224781186852198,4.855325168975998e-10,2.6604521473841084e-09
T cells,HALLMARK_CHOLESTEROL_HOMEOSTASIS,-1.6946966349560773,0.09013837556960427,0.1631463811214557
T cells,HALLMARK_COAGULATION,-11.967610541158603,5.7458724961973957e-33,1.1491744992394791e-31
T cells,HALLMARK_COMPLEMENT,11.873643678277837,1.7701200860757805e-32,3.3716573068110107e-31
T cells,HALLMARK_DNA_REPAIR,6.1668078774500215,7.014258761027401e-10,3.6917151373828423e-09
T cells,HALLMARK_E2F_TARGETS,9.97650880089111,2.0176881831595468e-23,2.1812845223346453e-22
T cells,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,-17.716566098282087,4.791191192932377e-70,3.8329529543459015e-68
T cells,HALLMARK_ESTROGEN_RESPONSE_EARLY,0.3060318282699585,0.759581515263045,0.8211692056897782
T cells,HALLMARK_ESTROGEN_RESPONSE_LATE,-6.764317805225113,1.3521055093345573e-11,8.32064928821266e-11
T cells,HALLMARK_FATTY_ACID_METABOLISM,-11.418065004766921,3.6602103557184126e-30,5.228871936740589e-29
T cells,HALLMARK_G2M_CHECKPOINT,4.983596981354669,6.259308676718139e-07,2.4546308536149563e-06
T cells,HALLMARK_GLYCOLYSIS,14.852272491107358,8.313108548949282e-50,3.0229485632542844e-48
T cells,HALLMARK_HEDGEHOG_SIGNALING,4.011562227156192,6.03941574251742e-05,0.0001996501071906585
T cells,HALLMARK_HEME_METABOLISM,11.776623043404664,5.604835104237116e-32,1.019060928043112e-30
T cells,HALLMARK_HYPOXIA,4.758488139823738,1.955193095025292e-06,7.3780871510388375e-06
T cells,HALLMARK_IL2_STAT5_SIGNALING,0.8506612659869641,0.3949610723875253,0.5283760165719402
T cells,HALLMARK_IL6_JAK_STAT3_SIGNALING,-11.54539120599146,8.419987423538033e-31,1.2474055442278567e-29
T cells,HALLMARK_INFLAMMATORY_RESPONSE,2.831190923242579,0.004639105246312441,0.011351644318572994
T cells,HALLMARK_INTERFERON_ALPHA_RESPONSE,4.894853032798345,9.86440657556997e-07,3.794002529065373e-06
T cells,HALLMARK_INTERFERON_GAMMA_RESPONSE,-3.431377518639106,0.0006009444277533057,0.0017674836110391343
T cells,HALLMARK_KRAS_SIGNALING_DN,-2.507874615891453,0.012148695892527716,0.026700430533027945
T cells,HALLMARK_KRAS_SIGNALING_UP,1.4863885946214033,0.13718182368250612,0.22959301034729057
T cells,HALLMARK_MITOTIC_SPINDLE,6.221804569386109,4.948299601629912e-10,2.6747565414215743e-09
T cells,HALLMARK_MTORC1_SIGNALING,-14.893169351361266,4.523073702734951e-50,1.8092294810939804e-48
T cells,HALLMARK_MYC_TARGETS_V1,-21.972991543059305,1.430203652628178e-106,1.906938203504237e-104
T cells,HALLMARK_MYC_TARGETS_V2,13.44824864504318,3.636605952898241e-41,9.69761587439531e-40
T cells,HALLMARK_MYOGENESIS,-13.642718134151371,2.595128909160569e-42,7.414654026173053e-41
T cells,HALLMARK_NOTCH_SIGNALING,11.026158449582027,3.049914153435891e-28,4.066552204581189e-27
T cells,HALLMARK_OXIDATIVE_PHOSPHORYLATION,-14.984117115246768,1.161571735681527e-50,5.162541047473453e-49
T cells,HALLMARK_P53_PATHWAY,0.010489663575078112,0.9916306491023748,0.9916306491023748
T cells,HALLMARK_PANCREAS_BETA_CELLS,-1.0114484589305692,0.3118060752163989,0.43641644903219096
T cells,HALLMARK_PEROXISOME,13.250664442451221,5.117096088578281e-40,1.2792740221445703e-38
T cells,HALLMARK_PI3K_AKT_MTOR_SIGNALING,8.736837763171687,2.4600569033136386e-18,2.3429113364891796e-17
T cells,HALLMARK_PROTEIN_SECRETION,-1.0178069483397432,0.3087739729699649,0.43641644903219096
T cells,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,-1.594298467440322,0.11087467289876206,0.19199077558227196
T cells,HALLMARK_SPERMATOGENESIS,-11.567018218081229,6.549695944582468e-31,1.0076455299357643e-29
T cells,HALLMARK_TGF_BETA_SIGNALING,4.2229490658845075,2.4149499906645127e-05,8.327413760912114e-05
T cells,HALLMARK_TNFA_SIGNALING_VIA_NFKB,-20.752169708983093,2.614631273215905e-95,2.6146312732159048e-93
T cells,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,-8.676753663529055,4.176023091068072e-18,3.884672642854021e-17
T cells,HALLMARK_UV_RESPONSE_DN,6.641065325613064,3.1417465001036945e-11,1.875669552300713e-10
T cells,HALLMARK_UV_RESPONSE_UP,2.678704297485436,0.007392855434959338,0.017192687058044973
T cells,HALLMARK_WNT_BETA_CATENIN_SIGNALING,13.762561926225953,5.0065131198543045e-43,1.5404655753397858e-41
T cells,HALLMARK_XENOBIOTIC_METABOLISM,-6.310090112177373,2.808883885589972e-10,1.5824697946985758e-09
Macrophages,HALLMARK_ADIPOGENESIS,3.6917005937398577,0.00022508310014204193,0.00068207000043043
Macrophages,HALLMARK_ALLOGRAFT_REJECTION,-5.332218945821108,1.0119736509315667e-07,4.3062708550279436e-07
Macrophages,HALLMARK_ANDROGEN_RESPONSE,2.6962953538154486,0.007034537663806682,0.01645957745326479
Macrophages,HALLMARK_ANGIOGENESIS,-14.524203365963393,7.235407576632665e-47,2.4118025255442217e-45
Macrophages,HALLMARK_APICAL_JUNCTION,-8.855690958708827,1.1288699047693332e-18,1.1013364924578861e-17
Macrophages,HALLMARK_APICAL_SURFACE,-4.060967441242493,4.960148386179322e-05,0.00016672767684636376
Macrophages,HALLMARK_APOPTOSIS,-8.56088496714231,1.4635177016154208e-17,1.3009046236581518e-16
Macrophages,HALLMARK_BILE_ACID_METABOLISM,-6.818489155589782,1.026639073451828e-11,6.51834332350367e-11
Macrophages,HALLMARK_CHOLESTEROL_HOMEOSTASIS,-12.46937767500354,3.550496835743373e-35,7.889992968318607e-34
Macrophages,HALLMARK_COAGULATION,-10.870419783915652,3.16162195654743e-27,4.079512201996684e-26
Macrophages,HALLMARK_COMPLEMENT,3.7452822182489576,0.0001821755700293905,0.0005605402154750476
Macrophages,HALLMARK_DNA_REPAIR,2.316376786624651,0.020577085584798,0.04309337295245655
Macrophages,HALLMARK_E2F_TARGETS,-2.831291416850166,0.004654174170614927,0.011351644318572994
Macrophages,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,-28.005333573531782,1.1236937513688916e-160,4.494775005475566e-158
Macrophages,HALLMARK_ESTROGEN_RESPONSE_EARLY,6.792284416909834,1.2295973237413711e-11,7.684983273383569e-11
Macrophages,HALLMARK_ESTROGEN_RESPONSE_LATE,1.9651642524928161,0.04944933904835442,0.09374282284048231
Macrophages,HALLMARK_FATTY_ACID_METABOLISM,-5.916137859219731,3.510419901385571e-09,1.733540692042257e-08
Macrophages,HALLMARK_G2M_CHECKPOINT,-7.033660225883104,2.2769821196092036e-12,1.5179880797394693e-11
Macrophages,HALLMARK_GLYCOLYSIS,6.044329511132269,1.6067625256184547e-09,8.135506458827618e-09
Macrophages,HALLMARK_HEDGEHOG_SIGNALING,-10.409248775059647,4.006581317457915e-25,4.5789500770947605e-24
Macrophages,HALLMARK_HEME_METABOLISM,10.381622267160886,5.321384211227414e-25,5.912649123586016e-24
Macrophages,HALLMARK_HYPOXIA,-9.974116979105304,3.2224363225072134e-23,3.392038234218119e-22
Macrophages,HALLMARK_IL2_STAT5_SIGNALING,-8.018732219957347,1.3139859924978224e-15,1.0949883270815187e-14
Macrophages,HALLMARK_IL6_JAK_STAT3_SIGNALING,-2.4397637198701347,0.014730657024096571,0.03211338078282756
Macrophages,HALLMARK_INFLAMMATORY_RESPONSE,-7.4821858095681035,8.55814228914512e-14,6.339364658626015e-13
Macrophages,HALLMARK_INTERFERON_ALPHA_RESPONSE,-1.4723370863577552,0.14099148247870863,0.23304377269208038
Macrophages,HALLMARK_INTERFERON_GAMMA_RESPONSE,2.2758328863414263,0.02289723625966116,0.047702575540960745
Macrophages,HALLMARK_KRAS_SIGNALING_DN,-11.774766125901767,1.3447439252284705e-31,2.2412398753807843e-30
Macrophages,HALLMARK_KRAS_SIGNALING_UP,-7.44354697098764,1.1439588751533467e-13,8.319700910206157e-13
Macrophages,HALLMARK_MITOTIC_SPINDLE,-2.147989601174043,0.03176147493338437,0.06384216067011933
Macrophages,HALLMARK_MTORC1_SIGNALING,-15.372095027834282,3.651813951801373e-52,1.8259069759006866e-50
Macrophages,HALLMARK_MYC_TARGETS_V1,-11.677667464644315,4.107864713708604e-31,6.572583541933767e-30
Macrophages,HALLMARK_MYC_TARGETS_V2,7.893394273821812,3.572101021043491e-15,2.8016478596419534e-14
Macrophages,HALLMARK_MYOGENESIS,-12.43480758812277,5.406138988346693e-35,1.1381345238624618e-33
Macrophages,HALLMARK_NOTCH_SIGNALING,6.211363369552267,5.668631395278621e-10,3.0232700774819315e-09
Macrophages,HALLMARK_OXIDATIVE_PHOSPHORYLATION,-11.79463132042963,1.0689503273404224e-31,1.8590440475485607e-30
Macrophages,HALLMARK_P53_PATHWAY,-7.536032007519301,5.697928436697428e-14,4.300323348450889e-13
Macrophages,HALLMARK_PANCREAS_BETA_CELLS,-8.932474432836539,5.714475506784346e-19,5.714475506784345e-18
Macrophages,HALLMARK_PEROXISOME,8.679886520429214,5.254269632419813e-18,4.7766087567452845e-17
Macrophages,HALLMARK_PI3K_AKT_MTOR_SIGNALING,2.9793132558076154,0.002902548670581289,0.007539087456055296
Macrophages,HALLMARK_PROTEIN_SECRETION,-5.006854556433317,5.718682928824752e-07,2.2874731715299007e-06
Macrophages,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,-1.838559211654312,0.06603806831499026,0.12172915818431385
Macrophages,HALLMARK_SPERMATOGENESIS,-10.558381253659805,8.553178708613388e-26,1.0062563186603985e-24
Macrophages,HALLMARK_TGF_BETA_SIGNALING,-1.3976455657965683,0.1622802228357798,0.260691121021333
Macrophages,HALLMARK_TNFA_SIGNALING_VIA_NFKB,-25.961992147091983,1.0823936186289465e-139,2.164787237257893e-137
Macrophages,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,-7.218070401224694,6.047205018671601e-13,4.2436526446818255e-12
Macrophages,HALLMARK_UV_RESPONSE_DN,-1.6886656510424565,0.09134455876482045,0.16458479056724404
Macrophages,HALLMARK_UV_RESPONSE_UP,-3.9653667188065227,7.428524148734958e-05,0.00023962981124951477
Macrophages,HALLMARK_WNT_BETA_CATENIN_SIGNALING,10.79852896275227,6.813217693745174e-27,8.258445689388089e-26
Macrophages,HALLMARK_XENOBIOTIC_METABOLISM,-6.064130736463277,1.4220576835297771e-09,7.3873126417131274e-09
Mast cells,HALLMARK_ADIPOGENESIS,2.046095712706833,0.04100626323075314,0.07935513148172506
Mast cells,HALLMARK_ALLOGRAFT_REJECTION,-2.045487185845166,0.04106628054179271,0.07935513148172506
Mast cells,HALLMARK_ANDROGEN_RESPONSE,0.7535075027017089,0.45132113903528615,0.5767682287990877
Mast cells,HALLMARK_ANGIOGENESIS,-2.4174526685488558,0.015806314832808303,0.034175815854720654
Mast cells,HALLMARK_APICAL_JUNCTION,0.6801248001565149,0.4965817681234731,0.6111775607673515
Mast cells,HALLMARK_APICAL_SURFACE,-0.34618626382730805,0.7292750532189958,0.7970219160863341
Mast cells,HALLMARK_APOPTOSIS,-0.38070421877129595,0.7035030326702709,0.7778403027693502
Mast cells,HALLMARK_BILE_ACID_METABOLISM,-0.3030315777018257,0.7619283852977194,0.8214861297010453
Mast cells,HALLMARK_CHOLESTEROL_HOMEOSTASIS,-0.6991592302376136,0.48461397754957625,0.6067718743442667
Mast cells,HALLMARK_COAGULATION,-3.2420521613727176,0.0012256719216928204,0.0034770834657952355
Mast cells,HALLMARK_COMPLEMENT,3.1655239203967063,0.001594516715432107,0.00442921309842252
Mast cells,HALLMARK_DNA_REPAIR,0.510357806870397,0.6099126593177138,0.7051013402516922
Mast cells,HALLMARK_E2F_TARGETS,0.4225402590938118,0.6727209267193558,0.7537489375006788
Mast cells,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,-3.0836721393164326,0.0021003273432419617,0.005633831662287019
Mast cells,HALLMARK_ESTROGEN_RESPONSE_EARLY,4.640581101475901,3.932646676132293e-06,1.4565358059749231e-05
Mast cells,HALLMARK_ESTROGEN_RESPONSE_LATE,1.660125096435343,0.09720062078982085,0.1714208003258343
Mast cells,HALLMARK_FATTY_ACID_METABOLISM,-1.1891410991435445,0.23466446965959264,0.3502454771038696
Mast cells,HALLMARK_G2M_CHECKPOINT,-1.1142529235354781,0.2654365666287037,0.38469067627348363
Mast cells,HALLMARK_GLYCOLYSIS,3.1182941881101667,0.001870657875723642,0.005090225512173176
Mast cells,HALLMARK_HEDGEHOG_SIGNALING,-2.078810553912387,0.03788746115300975,0.07465509586799951
Mast cells,HALLMARK_HEME_METABOLISM,3.0819093029408533,0.002112686873357632,0.005633831662287019
Mast cells,HALLMARK_HYPOXIA,-0.0946344216860271,0.9246240346071861,0.9410931649945914
Mast cells,HALLMARK_IL2_STAT5_SIGNALING,1.4840734878646933,0.13810235139751825,0.23017058566253043
Mast cells,HALLMARK_IL6_JAK_STAT3_SIGNALING,0.12859287337013517,0.897705482753053,0.9278609640858428
Mast cells,HALLMARK_INFLAMMATORY_RESPONSE,-1.0202993077124136,0.30783158546464684,0.43641644903219096
Mast cells,HALLMARK_INTERFERON_ALPHA_RESPONSE,-1.1231763726701198,0.26163029532821047,0.3805531568410334
Mast cells,HALLMARK_INTERFERON_GAMMA_RESPONSE,-1.8693600447059315,0.06186280146450212,0.1145607434527817
Mast cells,HALLMARK_KRAS_SIGNALING_DN,-2.1890880282647633,0.028819422787037793,0.0585165944914473
